Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/query,2558,0,44,44.50784342988242,7.133400067687035,51.93429999053478,286.0,43.055161382831656,0.0,44,45,46,46,47,47,48,49,51,52,52
GET,/health,840,0,2,2.3141704793531623,1.328000333160162,11.236700229346752,20.0,14.138520547919699,0.0,2,2,3,3,3,4,4,6,11,11,11
,Aggregated,3398,0,44,34.077388668715685,1.328000333160162,51.93429999053478,220.2436727486757,57.19368193075135,0.0,44,45,45,45,46,47,48,48,51,52,52
